0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/user/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:22 +0800] "POST /yycgptproject/user/queryuser_result.action HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:24 +0800] "GET /yycgptproject/js/easyui/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:25 +0800] "GET /yycgptproject/user/editSysUser.action?id=46a3d15252144af18972b506e2b92796 HTTP/1.1" 200 7261
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:25 +0800] "POST /yycgptproject/dwr/call/plaincall/__System.pageLoaded.dwr HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:25 +0800] "GET /yycgptproject/user/images/r_0.gif HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:25 +0800] "GET /yycgptproject/js/easyui/themes/icons/cancel.png HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:25 +0800] "GET /yycgptproject/js/easyui/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:28 +0800] "GET /yycgptproject/user/editSysUser.action?id=92ae16131e2741c0a4a45171ea9e78fc HTTP/1.1" 200 7261
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:28 +0800] "GET /yycgptproject/dwr/interface/dwrService.js HTTP/1.1" 200 6025
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:28 +0800] "GET /yycgptproject/dwr/engine.js HTTP/1.1" 200 67343
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:28 +0800] "GET /yycgptproject/dwr/util.js HTTP/1.1" 200 46704
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:29 +0800] "POST /yycgptproject/dwr/call/plaincall/__System.pageLoaded.dwr HTTP/1.1" 200 237
